canonical_name,category,unit,keywords
Schweinenacken TK o.k.,fleisch,kg,"schweinenacken tk,schweine nacken tk"
Schweinenackensteaks gew.,fleisch,kg,"schweinenackensteaks,nackensteaks,schweinenackensteak"
Schweineschinken schier,fleisch,kg,"schweineschinken,schweine schinken"
Ananas CR,obst_gemuese,stueck,"ananas,ananas costa rica"
Auberginen NL/ESP 5kg,obst_gemuese,kg,"auberginen,aubergine"
Baby Spinat 500g,obst_gemuese,stueck,"baby spinat,babyspinat,spinat"
Cantaloupemelone BR/HO,obst_gemuese,stueck,"cantaloupemelone,cantaloupe,melone"
Erdbeeren GR/ESP 500g,obst_gemuese,stueck,"erdbeeren,erdbeere"
Feldsalat IT/FR 125g,obst_gemuese,stueck,"feldsalat,feld salat"
Fleischtomaten ESP,obst_gemuese,kg,"fleischtomaten,fleischtomate,tomaten"
Flugmango PR/BR,obst_gemuese,stueck,"flugmango,mango,flug mango"
Gurken 350/400g,obst_gemuese,stueck,"gurke,gurken,salatgurke"
Honigmelone BR/CR/HD,obst_gemuese,stueck,"honigmelone,honig melone"
Kartoffeln geschaelt ganz/Scheiben/Wuerfel 5kg,obst_gemuese,kg,"kartoffeln geschaelt,kartoffeln,geschaelte kartoffeln"
Lauchzwiebeln DT/EGY Bund,obst_gemuese,bund,"lauchzwiebeln,lauchzwiebel,fruehlingszwiebeln"
Lauchzwiebeln Premium IT Bund,obst_gemuese,bund,"lauchzwiebeln premium,premium lauchzwiebeln"
Mango PR,obst_gemuese,stueck,"mango,mango pr"
Mango ready to eat PR,obst_gemuese,stueck,"mango ready,mango reif"
Mix Salat 9er IT,obst_gemuese,stueck,"mix salat,salat mix,mischsalat"
Moehren Bund IT,obst_gemuese,bund,"moehren,karotten,moehren bund"
Physalis KO 800g,obst_gemuese,stueck,"physalis"
Roscof Zwiebeln FR 350g,obst_gemuese,stueck,"roscof zwiebeln,roscof"
Rucola 1kg Styro,obst_gemuese,kg,"rucola,rauke"
Spargel gruen PR/MX 500g,obst_gemuese,stueck,"spargel gruen,gruener spargel"
Spargel weiss/violett 16mm IT/GR 500g,obst_gemuese,stueck,"spargel weiss,weisser spargel,spargel violett"
Spargel weiss/violett 22mm IT/GR 5kg,obst_gemuese,kg,"spargel weiss 22mm,spargel 5kg"
Speisefruehkartoffeln festk. 1.5kg,obst_gemuese,stueck,"fruehkartoffeln,speisefruehkartoffeln"
Tafeltrauben rot ZA kernlos,obst_gemuese,stueck,"tafeltrauben,trauben,weintrauben"
Weisskohl 2mm geschnitten 2.5kg,obst_gemuese,kg,"weisskohl,weisskohl geschnitten"
Zitronen ESP 500g,obst_gemuese,stueck,"zitronen,zitrone"
Zitronen Primofiori 5kg,obst_gemuese,kg,"zitronen primofiori,primofiori"
Zwiebeln rot NL 10kg,obst_gemuese,kg,"zwiebeln rot,rote zwiebeln"
Aviko Sweet Potatoe Fries 2.27kg,tk,kg,"sweet potato fries,suesskartoffel pommes,aviko"
Broccoli 20/40,tk,kg,"broccoli,brokkoli"
Economy Weizenbroetchen 100x70g,tk,stueck,"weizenbroetchen,broetchen"
MC Brechbohnen 2.5kg,tk,kg,"brechbohnen,mc brechbohnen"
MC Himbeeren 2.5kg,tk,kg,"himbeeren,mc himbeeren"
Henkelmann Deli. Hinterkochschinken 500g,wurst,stueck,"hinterkochschinken,henkelmann,kochschinken"
Schleizer Bockwurst 10x100g,wurst,stueck,"bockwurst,schleizer bockwurst"
Schleizer Krakauer 10x120g,wurst,stueck,"krakauer,schleizer krakauer"
Dairystar H-Schlagsahne 30%,mopro,stueck,"schlagsahne,h-schlagsahne,dairystar"
EFS H Schmand,mopro,stueck,"schmand,h schmand,efs schmand"
Gouda gerieben 48% Delina,mopro,stueck,"gouda,gouda gerieben,delina"
